"afd_Balten_2025_08" "afd_BeatrixVonStorch_2021_07" "afd_BeatrixVonStorch_2022_06" "afd_chrupalla_2024_10" "afd_chrupalla_2025_09" "afd_Gauland_2018_02" "afd_Gauland_Regierungserklärung2018_04" "afd_Malsack-Winkemann_2018_03" "afd_weidel_2018_01" "afd_weidel_2021_05" "dolchstoß_01" "dolchstoß_BrockhausArtikel_1930_03" "dolchstoß_Eiserne Blätter_1918_05" "dolchstoß_RedeNoske_1907_04" "dolchstoß_Wahlplakat1924_02"
"ist" 0.854700854700855 1.34680134680135 1.08695652173913 0.528700906344411 1.02249488752556 0.92678405931418 0.662251655629139 1.08843537414966 1.47420147420147 0.806451612903226 0.784929356357928 0.36101083032491 0 0.99009900990099 1.14942528735632
"wir" 0.854700854700855 0.673400673400673 0.815217391304348 1.43504531722054 1.22699386503067 0.370713623725672 0.22075055187638 0.54421768707483 0.0819000819000819 0.403225806451613 2.04081632653061 0 3.03030303030303 1.98019801980198 0
"für" 1.13960113960114 2.18855218855219 0 0.830815709969788 1.02249488752556 0.46339202965709 0.11037527593819 1.08843537414966 0.819000819000819 1.0752688172043 0.54945054945055 0.72202166064982 0 0 1.14942528735632
"im" 0.56980056980057 0.505050505050505 0.271739130434783 1.58610271903323 0.511247443762781 0.648748841519926 0.772626931567329 1.63265306122449 0.40950040950041 0.268817204301075 0.627943485086342 1.80505415162455 0.757575757575758 0 1.14942528735632
"auch" 0.56980056980057 0.673400673400673 0.815217391304348 1.13293051359517 1.32924335378323 0.556070435588508 1.21412803532009 0.54421768707483 0.327600327600328 1.0752688172043 0.235478806907378 0.36101083032491 0.757575757575758 0.99009900990099 0
"von" 1.13960113960114 0.673400673400673 1.90217391304348 0.151057401812689 0.715746421267894 0.46339202965709 1.1037527593819 0.680272108843537 0.737100737100737 1.34408602150538 0.86342229199372 0.72202166064982 0 0 0
"es" 0.56980056980057 0.505050505050505 0.271739130434783 0.6797583081571 0.81799591002045 1.0194624652456 1.1037527593819 0.816326530612245 0.40950040950041 0.268817204301075 0.627943485086342 0.36101083032491 0.757575757575758 2.97029702970297 1.14942528735632
"auf" 1.13960113960114 0.336700336700337 2.17391304347826 0.604229607250755 0.408997955010225 0.46339202965709 0.33112582781457 0.816326530612245 0.491400491400491 1.0752688172043 0.392464678178964 0.36101083032491 1.51515151515152 0.99009900990099 0
"des" 0 0.673400673400673 3.26086956521739 0.151057401812689 0.408997955010225 0.278035217794254 0.33112582781457 0.136054421768707 0.40950040950041 0.53763440860215 1.17739403453689 3.6101083032491 0 0 0
"an" 0.854700854700855 0.505050505050505 0.815217391304348 0.6797583081571 0.204498977505112 0.834105653382762 0.33112582781457 0.952380952380952 0.573300573300573 0.134408602150538 1.0989010989011 0 0.757575757575758 0 0
"hat" 0.284900284900285 0.673400673400673 1.08695652173913 0.6797583081571 0.408997955010225 0.741427247451344 0.441501103752759 0.816326530612245 0.573300573300573 0.806451612903226 0.313971742543171 0.36101083032491 0 0.99009900990099 2.29885057471264
"dem" 0.284900284900285 0.336700336700337 1.08695652173913 0.604229607250755 0.306748466257669 0.370713623725672 0.551876379690949 0.680272108843537 0.900900900900901 0.268817204301075 0.86342229199372 0.36101083032491 0.757575757575758 0.99009900990099 0
"haben" 0.284900284900285 0 0 0.755287009063444 1.32924335378323 0.278035217794254 0.993377483443709 0.272108843537415 0.655200655200655 0.134408602150538 0.54945054945055 0 0.757575757575758 0 0
"ein" 0.56980056980057 1.01010101010101 0.271739130434783 0.377643504531722 0.408997955010225 0.370713623725672 0.662251655629139 0.680272108843537 0.819000819000819 0.134408602150538 0.470957613814757 1.08303249097473 0.757575757575758 0 0
"eine" 0.56980056980057 0.841750841750842 0 0.377643504531722 0.408997955010225 0.92678405931418 0.551876379690949 0.816326530612245 0.573300573300573 0.268817204301075 0.392464678178964 0.72202166064982 0 0.99009900990099 0
"als" 0.56980056980057 0.841750841750842 0.543478260869565 0.226586102719033 0.613496932515337 0.370713623725672 0.441501103752759 0.272108843537415 0.573300573300573 0.672043010752688 0.706436420722135 0.36101083032491 1.51515151515152 0 0
"sich" 0.56980056980057 0.168350168350168 0 0.453172205438066 0.511247443762781 0.741427247451344 0.551876379690949 0.408163265306122 0.737100737100737 0.53763440860215 0.470957613814757 0 1.51515151515152 0.99009900990099 0
"so" 0.284900284900285 0.168350168350168 0.543478260869565 0.302114803625378 0.306748466257669 0.46339202965709 0.441501103752759 0.54421768707483 0.491400491400491 0.268817204301075 0.941915227629513 0.36101083032491 0.757575757575758 0.99009900990099 1.14942528735632
"noch" 0 0.168350168350168 0 0.755287009063444 0.511247443762781 0.46339202965709 0.33112582781457 0.136054421768707 1.14660114660115 0.134408602150538 0.313971742543171 0.36101083032491 0.757575757575758 0 0
"werden" 0.56980056980057 0.168350168350168 1.08695652173913 0.604229607250755 0.715746421267894 0.648748841519926 0.22075055187638 0.54421768707483 0.163800163800164 0.672043010752688 0.235478806907378 0 0 0 0
"ich" 0.56980056980057 0 0 0.528700906344411 0.511247443762781 0.46339202965709 1.1037527593819 0.272108843537415 0.163800163800164 0.134408602150538 0.706436420722135 0 0 0.99009900990099 0
"sind" 0.284900284900285 0.673400673400673 0 0.604229607250755 0.613496932515337 0.648748841519926 0.11037527593819 0.816326530612245 0.245700245700246 0.806451612903226 0 0 0.757575757575758 0.99009900990099 0
"aber" 0.56980056980057 0.168350168350168 0.543478260869565 0.226586102719033 0.306748466257669 0.92678405931418 0.662251655629139 0.408163265306122 0.327600327600328 0.268817204301075 0.313971742543171 0.72202166064982 0.757575757575758 0 0
"wie" 0.854700854700855 0.336700336700337 0.271739130434783 0.528700906344411 0.408997955010225 0.648748841519926 0.11037527593819 0.136054421768707 0.491400491400491 0.53763440860215 0.470957613814757 0 0 0.99009900990099 0
